Single
3648
Scan 0,   
1021, 94.0
1022, 98.0
1023, 95.0
1024, 94.0
1025, 97.0
1026, 95.0
1027, 95.0
1028, 98.0
1029, 95.0
1030, 95.0
1031, 98.0
1032, 95.0
1033,100.0
1034, 97.0
1035, 96.0
1036, 90.0
1037,100.0
1038, 92.0
1039, 93.0
1040, 94.0
1041, 96.0
1042, 97.0
1043, 94.0
1044, 96.0
1045, 95.0
1046, 94.0
1047, 99.0
1048, 96.0
1049, 96.0
1050, 95.0
1051, 95.0
1052, 97.0
1053, 92.0
1054, 96.0
1055,101.0
1056, 94.0
1057, 98.0
1058, 93.0
1059, 95.0
1060, 99.0
1061, 96.0
1062, 98.0
1063, 95.0
1064, 93.0
1065, 93.0
1066, 94.0
1067, 96.0
1068, 98.0
1069, 96.0
1070, 94.0
1071,100.0
1072, 96.0
1073, 97.0
1074, 94.0
1075, 95.0
1076, 99.0
1077, 93.0
1078, 96.0
1079, 89.0
1080, 94.0
1081, 95.0
1082, 93.0
1083, 95.0
1084, 95.0
1085, 97.0
1086, 91.0
1087, 96.0
1088, 92.0
1089, 91.0
1090, 93.0
1091, 97.0
1092, 98.0
1093, 99.0
1094, 95.0
1095, 98.0
1096, 96.0
1097, 95.0
1098, 95.0
1099, 96.0
1100, 92.0
1101, 90.0
1102, 95.0
1103, 96.0
1104, 95.0
1105, 95.0
1106, 97.0
1107, 97.0
1108, 98.0
1109, 94.0
1110, 94.0
1111, 98.0
1112, 93.0
1113, 99.0
1114, 93.0
1115, 99.0
1116, 98.0
1117, 93.0
1118, 96.0
1119, 98.0
1120, 96.0
1121, 90.0
1122, 96.0
1123, 92.0
1124, 90.0
1125, 93.0
1126, 96.0
1127, 98.0
1128, 96.0
1129, 94.0
1130, 96.0
1131, 94.0
1132, 95.0
1133, 95.0
1134, 99.0
1135, 96.0
1136, 92.0
1137, 98.0
1138, 95.0
1139, 95.0
1140, 95.0
1141, 94.0
1142, 99.0
1143, 97.0
1144, 94.0
1145, 94.0
1146, 95.0
1147, 95.0
1148, 96.0
1149, 95.0
1150, 95.0
1151, 97.0
1152,104.0
1153, 98.0
1154, 96.0
1155,100.0
1156, 95.0
1157, 96.0
1158, 96.0
1159, 94.0
1160, 96.0
1161, 95.0
1162, 91.0
1163, 92.0
1164, 95.0
1165, 97.0
1166, 94.0
1167, 93.0
1168,102.0
1169, 96.0
1170, 96.0
1171, 95.0
1172, 93.0
1173, 93.0
1174, 96.0
1175, 96.0
1176, 96.0
1177, 93.0
1178, 92.0
1179, 93.0
1180, 89.0
1181, 93.0
1182, 94.0
1183, 97.0
1184, 93.0
1185, 95.0
1186,101.0
1187, 92.0
1188, 95.0
1189, 95.0
1190, 99.0
1191, 95.0
1192, 93.0
1193, 98.0
1194, 91.0
1195, 93.0
1196, 94.0
