Single
3648
Scan 0,   
1042, 91.0
1043, 93.0
1044, 98.0
1045, 89.0
1046, 91.0
1047, 95.0
1048, 90.0
1049, 89.0
1050, 85.0
1051, 93.0
1052, 94.0
1053, 88.0
1054, 93.0
1055, 92.0
1056, 98.0
1057, 95.0
1058, 91.0
1059, 94.0
1060, 93.0
1061, 94.0
1062, 90.0
1063, 89.0
1064, 98.0
1065, 88.0
1066, 94.0
1067, 93.0
1068, 93.0
1069, 90.0
1070, 89.0
1071, 92.0
1072, 91.0
1073, 95.0
1074, 91.0
1075, 90.0
1076, 87.0
1077, 88.0
1078, 86.0
1079, 93.0
1080, 88.0
1081, 94.0
1082, 95.0
1083, 91.0
1084, 93.0
1085, 89.0
1086, 90.0
1087, 93.0
1088, 92.0
1089, 92.0
1090, 88.0
1091, 92.0
1092, 88.0
1093, 95.0
1094, 90.0
1095, 93.0
1096, 90.0
1097, 90.0
1098, 89.0
1099, 91.0
1100, 94.0
1101, 90.0
1102, 90.0
1103, 90.0
1104, 88.0
1105, 90.0
1106, 95.0
1107, 93.0
1108, 91.0
1109, 94.0
1110, 90.0
1111, 90.0
1112, 91.0
1113, 89.0
1114, 91.0
1115, 95.0
1116, 93.0
1117, 89.0
1118, 91.0
1119, 90.0
1120, 90.0
1121, 88.0
1122, 93.0
1123, 89.0
1124, 91.0
1125, 92.0
1126, 93.0
1127, 93.0
1128, 93.0
1129, 90.0
1130, 91.0
1131, 94.0
1132, 92.0
1133, 93.0
1134, 93.0
1135, 89.0
1136, 89.0
1137, 95.0
1138, 91.0
1139, 92.0
1140, 90.0
1141, 95.0
1142, 92.0
1143, 90.0
1144, 89.0
1145, 95.0
1146, 90.0
1147, 86.0
1148, 91.0
1149, 90.0
1150, 87.0
1151, 93.0
1152, 93.0
1153, 92.0
1154, 90.0
1155, 90.0
1156, 93.0
1157, 89.0
1158, 93.0
1159, 90.0
1160, 95.0
1161, 94.0
1162, 90.0
1163, 91.0
1164, 93.0
1165, 95.0
1166, 94.0
1167, 87.0
1168, 91.0
1169, 90.0
1170, 93.0
1171, 93.0
1172, 95.0
1173, 94.0
1174, 93.0
1175, 91.0
1176, 94.0
1177, 94.0
1178, 89.0
1179, 89.0
1180, 94.0
1181, 93.0
1182, 84.0
1183, 89.0
1184, 90.0
1185, 89.0
1186, 90.0
1187, 90.0
1188, 88.0
1189, 93.0
1190, 92.0
1191, 91.0
1192, 92.0
1193, 89.0
1194, 92.0
1195, 95.0
1196, 91.0
1197, 95.0
1198, 87.0
1199, 90.0
1200, 86.0
1201, 89.0
1202, 92.0
1203, 90.0
1204, 90.0
1205, 86.0
1206, 94.0
1207, 89.0
1208, 92.0
1209, 93.0
1210, 89.0
1211, 86.0
1212, 93.0
1213, 91.0
1214, 89.0
1215, 90.0
1216, 90.0
1217, 89.0
1218, 92.0
1219, 91.0
1220, 89.0
1221, 88.0
1222, 94.0
1223, 91.0
1224, 89.0
1225, 89.0
1226, 92.0
1227, 92.0
1228, 92.0
1229, 93.0
1230, 90.0
1231, 90.0
1232, 88.0
1233, 95.0
1234, 93.0
1235, 92.0
1236, 89.0
1237, 93.0
1238, 88.0
1239, 91.0
1240, 91.0
1241, 88.0
1242, 91.0
1243, 92.0
1244, 91.0
1245, 87.0
1246, 93.0
1247, 89.0
1248, 90.0
1249, 89.0
1250, 88.0
1251, 93.0
1252, 91.0
1253, 86.0
1254, 91.0
1255, 94.0
1256, 95.0
1257, 88.0
1258, 94.0
1259, 94.0
1260, 97.0
1261, 90.0
1262, 95.0
1263, 88.0
1264, 87.0
1265, 90.0
1266, 93.0
1267, 92.0
1268, 91.0
1269, 90.0
1270, 93.0
1271, 92.0
1272, 88.0
1273, 93.0
1274, 94.0
1275, 88.0
1276, 92.0
1277, 87.0
1278, 91.0
1279, 92.0
1280, 95.0
1281, 93.0
1282, 95.0
1283, 91.0
1284, 90.0
1285, 92.0
1286, 93.0
1287, 89.0
1288, 89.0
1289, 91.0
1290, 91.0
1291, 90.0
1292, 89.0
1293, 94.0
1294, 91.0
1295, 89.0
1296, 89.0
1297, 90.0
1298, 92.0
1299, 94.0
1300, 87.0
1301, 90.0
1302, 94.0
1303, 89.0
1304, 91.0
1305, 90.0
1306, 90.0
1307, 92.0
1308, 97.0
1309, 89.0
1310, 93.0
1311, 95.0
1312, 91.0
1313, 87.0
1314, 90.0
1315, 88.0
1316, 90.0
1317, 90.0
1318, 91.0
1319, 93.0
1320, 92.0
1321, 91.0
1322, 91.0
1323, 93.0
1324, 89.0
1325, 91.0
1326, 93.0
1327, 90.0
1328, 89.0
1329, 89.0
1330, 90.0
1331, 90.0
1332, 94.0
1333, 93.0
1334, 88.0
1335, 89.0
1336, 93.0
1337, 88.0
1338, 94.0
1339, 93.0
1340, 91.0
1341, 92.0
1342, 88.0
1343, 93.0
1344, 95.0
1345, 87.0
1346, 91.0
1347, 92.0
1348, 92.0
1349, 86.0
1350, 89.0
1351, 96.0
1352, 92.0
1353, 89.0
1354, 87.0
1355, 90.0
1356, 86.0
1357, 89.0
1358, 90.0
1359, 88.0
1360, 93.0
1361, 94.0
1362, 91.0
1363, 91.0
1364, 96.0
1365, 88.0
1366, 94.0
1367, 96.0
1368, 91.0
1369, 89.0
1370, 93.0
1371, 89.0
1372, 88.0
1373, 91.0
1374, 95.0
1375, 92.0
1376, 86.0
1377, 86.0
1378, 93.0
