Single
3648
Scan 0,   
991, 91.0
992, 95.0
993, 97.0
994, 93.0
995, 95.0
996, 93.0
997, 96.0
998, 91.0
999, 95.0
1000, 96.0
1001, 96.0
1002, 95.0
1003, 94.0
1004, 98.0
1005, 96.0
1006, 93.0
1007, 93.0
1008, 92.0
1009, 95.0
1010, 93.0
1011, 90.0
1012, 95.0
1013, 93.0
1014, 92.0
1015, 93.0
1016, 95.0
1017, 95.0
1018, 95.0
1019, 96.0
1020,100.0
1021, 93.0
1022, 91.0
1023,100.0
1024, 95.0
1025, 96.0
1026, 95.0
1027, 95.0
1028, 95.0
1029, 96.0
1030, 93.0
1031, 89.0
1032, 94.0
1033, 90.0
1034, 95.0
1035, 95.0
1036, 95.0
1037, 96.0
1038, 92.0
1039, 94.0
1040, 96.0
1041, 94.0
1042, 93.0
1043, 95.0
1044, 97.0
1045, 94.0
1046, 97.0
1047, 97.0
1048, 95.0
1049, 93.0
1050, 97.0
1051, 91.0
1052, 92.0
1053, 95.0
1054, 96.0
1055, 95.0
1056, 93.0
1057, 95.0
1058,102.0
1059, 95.0
1060, 93.0
1061, 97.0
1062, 96.0
1063, 95.0
1064, 92.0
1065, 91.0
1066, 91.0
1067, 93.0
1068, 91.0
1069, 92.0
1070, 95.0
1071, 95.0
1072, 94.0
1073, 96.0
1074, 95.0
1075, 95.0
1076, 94.0
1077, 98.0
1078, 95.0
1079, 92.0
1080, 98.0
1081, 92.0
1082, 93.0
1083, 95.0
1084, 94.0
1085, 92.0
1086, 93.0
1087, 95.0
1088, 96.0
1089, 97.0
1090, 89.0
1091, 96.0
1092, 99.0
1093, 94.0
1094, 96.0
1095, 94.0
1096, 94.0
1097, 93.0
1098, 96.0
1099, 97.0
1100, 89.0
1101, 96.0
1102, 93.0
1103, 99.0
1104, 97.0
1105, 97.0
1106, 93.0
1107, 93.0
1108, 97.0
1109, 93.0
1110, 92.0
1111,100.0
1112,101.0
1113, 92.0
1114, 92.0
1115, 95.0
1116, 97.0
1117, 92.0
1118, 99.0
1119, 91.0
1120, 96.0
1121, 95.0
1122, 95.0
1123, 94.0
1124, 96.0
1125, 97.0
1126, 95.0
1127, 96.0
1128, 95.0
1129, 91.0
1130, 92.0
1131, 94.0
1132, 95.0
1133, 94.0
1134, 96.0
1135, 94.0
1136, 93.0
1137, 97.0
1138, 94.0
1139, 93.0
1140, 94.0
1141, 96.0
1142, 94.0
1143, 95.0
1144, 96.0
1145, 90.0
1146, 94.0
1147, 93.0
1148, 95.0
1149, 95.0
1150, 95.0
1151, 92.0
1152, 96.0
1153, 97.0
1154, 92.0
1155, 93.0
1156, 92.0
1157, 92.0
1158, 95.0
1159, 97.0
1160, 93.0
1161, 93.0
1162, 91.0
1163, 97.0
1164, 93.0
1165, 91.0
1166, 94.0
1167, 97.0
1168, 90.0
1169, 93.0
1170, 93.0
1171, 94.0
1172, 97.0
1173, 89.0
1174, 92.0
1175, 98.0
1176, 91.0
1177, 95.0
1178, 95.0
1179, 95.0
1180, 92.0
1181, 94.0
1182, 88.0
1183, 96.0
1184, 94.0
1185, 95.0
1186, 93.0
1187, 99.0
1188, 96.0
1189, 98.0
1190, 92.0
1191, 96.0
1192, 97.0
1193, 91.0
1194, 90.0
1195, 94.0
1196, 87.0
1197, 92.0
1198, 92.0
1199, 97.0
1200, 94.0
1201, 98.0
1202, 91.0
1203, 97.0
1204, 93.0
1205, 99.0
1206, 91.0
1207, 96.0
1208, 92.0
1209, 96.0
1210, 92.0
1211, 92.0
1212, 95.0
1213, 91.0
1214, 98.0
1215, 93.0
1216, 97.0
1217, 94.0
1218, 94.0
1219, 96.0
1220, 91.0
1221, 93.0
1222, 95.0
1223, 97.0
1224, 93.0
1225, 94.0
1226, 90.0
1227, 96.0
1228, 94.0
1229, 94.0
1230, 99.0
1231, 96.0
1232, 97.0
1233, 88.0
1234, 91.0
1235, 96.0
1236, 93.0
1237, 96.0
1238, 94.0
1239, 96.0
1240, 95.0
1241, 92.0
1242, 96.0
1243, 93.0
1244, 98.0
1245,101.0
1246, 94.0
1247, 93.0
