Single
3648
Scan 0,   
851, 82.0
852, 78.0
853, 81.0
854, 79.0
855, 77.0
856, 81.0
857, 81.0
858, 84.0
859, 77.0
860, 80.0
861, 77.0
862, 81.0
863, 80.0
864, 78.0
865, 77.0
866, 84.0
867, 80.0
868, 74.0
869, 78.0
870, 76.0
871, 76.0
872, 79.0
873, 81.0
874, 80.0
875, 77.0
876, 81.0
877, 76.0
878, 76.0
879, 80.0
880, 83.0
881, 75.0
882, 83.0
883, 81.0
884, 77.0
885, 77.0
886, 81.0
887, 78.0
888, 79.0
889, 81.0
890, 82.0
891, 81.0
892, 82.0
893, 77.0
894, 82.0
895, 79.0
896, 75.0
897, 81.0
898, 77.0
899, 77.0
900, 82.0
901, 77.0
902, 79.0
903, 79.0
904, 82.0
905, 79.0
906, 82.0
907, 79.0
908, 80.0
909, 74.0
910, 81.0
911, 75.0
912, 81.0
913, 77.0
914, 78.0
915, 74.0
916, 81.0
917, 80.0
918, 79.0
919, 81.0
920, 80.0
921, 77.0
922, 81.0
923, 76.0
924, 80.0
925, 80.0
926, 79.0
927, 77.0
928, 82.0
929, 78.0
930, 77.0
931, 80.0
932, 83.0
933, 78.0
934, 81.0
935, 80.0
936, 79.0
937, 76.0
938, 78.0
939, 78.0
940, 80.0
941, 81.0
942, 77.0
943, 81.0
944, 76.0
945, 79.0
946, 77.0
947, 77.0
948, 81.0
949, 82.0
950, 78.0
951, 79.0
952, 81.0
953, 81.0
954, 78.0
955, 78.0
956, 80.0
957, 84.0
958, 78.0
959, 76.0
960, 79.0
961, 79.0
962, 76.0
963, 80.0
964, 79.0
965, 80.0
966, 82.0
967, 76.0
968, 80.0
969, 78.0
970, 81.0
971, 78.0
972, 80.0
973, 81.0
974, 78.0
975, 79.0
976, 83.0
977, 77.0
978, 79.0
979, 83.0
980, 78.0
981, 80.0
982, 78.0
983, 77.0
984, 77.0
985, 80.0
986, 78.0
987, 82.0
988, 80.0
989, 83.0
990, 81.0
991, 79.0
992, 76.0
993, 82.0
994, 78.0
995, 81.0
996, 81.0
997, 76.0
998, 80.0
999, 74.0
1000, 79.0
1001, 83.0
1002, 80.0
1003, 80.0
1004, 78.0
1005, 81.0
1006, 77.0
1007, 78.0
1008, 82.0
1009, 78.0
1010, 79.0
1011, 83.0
1012, 81.0
1013, 78.0
1014, 82.0
1015, 78.0
1016, 78.0
1017, 83.0
1018, 76.0
1019, 78.0
1020, 77.0
1021, 79.0
1022, 81.0
1023, 81.0
1024, 76.0
1025, 78.0
1026, 77.0
1027, 82.0
1028, 83.0
1029, 79.0
1030, 77.0
1031, 81.0
1032, 81.0
1033, 80.0
1034, 76.0
1035, 76.0
1036, 79.0
1037, 77.0
1038, 79.0
1039, 76.0
1040, 77.0
1041, 84.0
1042, 80.0
1043, 80.0
1044, 79.0
1045, 79.0
1046, 78.0
1047, 78.0
1048, 81.0
1049, 80.0
1050, 80.0
1051, 83.0
1052, 85.0
1053, 80.0
1054, 79.0
1055, 80.0
1056, 76.0
1057, 80.0
1058, 76.0
1059, 79.0
1060, 78.0
1061, 80.0
1062, 76.0
1063, 80.0
1064, 80.0
1065, 80.0
1066, 78.0
1067, 81.0
1068, 80.0
1069, 81.0
1070, 81.0
1071, 75.0
1072, 80.0
1073, 80.0
1074, 78.0
1075, 83.0
1076, 81.0
1077, 84.0
1078, 78.0
1079, 83.0
1080, 83.0
1081, 77.0
1082, 82.0
1083, 80.0
1084, 77.0
1085, 83.0
1086, 73.0
1087, 81.0
1088, 77.0
1089, 82.0
1090, 80.0
1091, 77.0
1092, 83.0
1093, 80.0
1094, 82.0
1095, 82.0
1096, 80.0
1097, 76.0
1098, 81.0
1099, 80.0
1100, 80.0
1101, 78.0
1102, 79.0
1103, 80.0
1104, 77.0
1105, 82.0
1106, 81.0
1107, 82.0
1108, 81.0
1109, 79.0
1110, 81.0
1111, 76.0
1112, 79.0
1113, 80.0
1114, 79.0
1115, 80.0
1116, 79.0
1117, 79.0
1118, 81.0
1119, 80.0
1120, 81.0
1121, 80.0
1122, 80.0
1123, 77.0
1124, 75.0
1125, 83.0
1126, 79.0
1127, 87.0
1128, 81.0
1129, 84.0
1130, 79.0
1131, 78.0
1132, 83.0
1133, 79.0
1134, 79.0
1135, 79.0
1136, 77.0
1137, 78.0
1138, 82.0
1139, 80.0
1140, 78.0
1141, 83.0
1142, 81.0
1143, 80.0
1144, 82.0
1145, 82.0
1146, 79.0
1147, 80.0
1148, 80.0
1149, 77.0
1150, 80.0
1151, 78.0
1152, 82.0
1153, 78.0
1154, 81.0
1155, 81.0
1156, 81.0
1157, 82.0
1158, 82.0
1159, 78.0
1160, 84.0
1161, 75.0
1162, 82.0
1163, 77.0
1164, 78.0
1165, 82.0
1166, 78.0
1167, 83.0
1168, 81.0
1169, 80.0
1170, 78.0
1171, 78.0
1172, 78.0
1173, 80.0
1174, 75.0
1175, 83.0
1176, 82.0
1177, 78.0
1178, 82.0
1179, 82.0
1180, 84.0
1181, 80.0
1182, 79.0
1183, 82.0
1184, 80.0
1185, 83.0
1186, 81.0
1187, 79.0
1188, 83.0
1189, 82.0
1190, 82.0
1191, 76.0
1192, 81.0
1193, 79.0
1194, 81.0
1195, 83.0
1196, 90.0
1197, 80.0
1198, 79.0
1199, 77.0
1200, 79.0
1201, 79.0
1202, 79.0
1203, 79.0
1204, 77.0
1205, 78.0
1206, 80.0
1207, 80.0
1208, 80.0
1209, 80.0
1210, 82.0
1211, 75.0
1212, 82.0
1213, 86.0
1214, 80.0
1215, 80.0
1216, 83.0
1217, 83.0
1218, 81.0
1219, 82.0
1220, 77.0
1221, 81.0
1222, 81.0
1223, 80.0
1224, 78.0
1225, 75.0
1226, 79.0
1227, 84.0
1228, 80.0
1229, 79.0
1230, 81.0
1231, 82.0
1232, 80.0
1233, 81.0
1234, 78.0
1235, 76.0
1236, 83.0
1237, 79.0
1238, 82.0
1239, 80.0
1240, 80.0
1241, 80.0
1242, 79.0
1243, 76.0
1244, 80.0
1245, 82.0
1246, 77.0
1247, 81.0
1248, 80.0
1249, 76.0
1250, 83.0
1251, 79.0
1252, 81.0
1253, 79.0
1254, 81.0
1255, 81.0
1256, 82.0
1257, 87.0
1258, 77.0
1259, 75.0
1260, 81.0
1261, 76.0
1262, 81.0
1263, 77.0
1264, 80.0
1265, 78.0
1266, 81.0
1267, 83.0
1268, 81.0
1269, 81.0
1270, 80.0
1271, 80.0
1272, 82.0
1273, 80.0
1274, 77.0
1275, 78.0
1276, 80.0
1277, 86.0
1278, 83.0
1279, 77.0
1280, 78.0
1281, 77.0
1282, 80.0
1283, 81.0
1284, 82.0
1285, 80.0
1286, 80.0
1287, 85.0
1288, 80.0
1289, 84.0
1290, 83.0
1291, 81.0
1292, 82.0
1293, 78.0
1294, 81.0
1295, 81.0
1296, 76.0
1297, 76.0
1298, 83.0
1299, 79.0
1300, 83.0
1301, 87.0
1302, 81.0
1303, 80.0
1304, 82.0
1305, 80.0
1306, 83.0
1307, 78.0
1308, 78.0
1309, 79.0
1310, 75.0
1311, 76.0
1312, 82.0
1313, 79.0
1314, 78.0
1315, 80.0
1316, 77.0
1317, 82.0
1318, 81.0
1319, 81.0
1320, 81.0
1321, 82.0
1322, 77.0
1323, 80.0
1324, 80.0
1325, 83.0
1326, 78.0
1327, 79.0
1328, 77.0
1329, 83.0
1330, 81.0
1331, 80.0
1332, 81.0
1333, 78.0
1334, 80.0
1335, 80.0
1336, 84.0
1337, 77.0
1338, 83.0
1339, 81.0
1340, 81.0
1341, 81.0
1342, 81.0
1343, 81.0
1344, 80.0
1345, 82.0
1346, 78.0
1347, 78.0
1348, 84.0
1349, 80.0
1350, 78.0
1351, 81.0
1352, 83.0
1353, 84.0
1354, 81.0
1355, 80.0
1356, 80.0
1357, 83.0
1358, 81.0
1359, 80.0
1360, 79.0
1361, 84.0
1362, 83.0
1363, 80.0
1364, 83.0
1365, 82.0
1366, 86.0
1367, 81.0
1368, 81.0
1369, 83.0
1370, 83.0
1371, 80.0
1372, 80.0
1373, 81.0
1374, 82.0
1375, 76.0
1376, 82.0
1377, 77.0
1378, 84.0
1379, 82.0
1380, 77.0
1381, 80.0
1382, 84.0
1383, 80.0
1384, 81.0
1385, 83.0
1386, 80.0
1387, 77.0
1388, 79.0
1389, 80.0
1390, 87.0
1391, 82.0
1392, 80.0
1393, 79.0
1394, 83.0
1395, 82.0
1396, 80.0
1397, 83.0
1398, 81.0
1399, 80.0
1400, 82.0
1401, 77.0
1402, 77.0
1403, 82.0
1404, 81.0
1405, 83.0
1406, 78.0
1407, 81.0
1408, 82.0
1409, 82.0
1410, 82.0
1411, 82.0
1412, 85.0
1413, 85.0
1414, 81.0
1415, 84.0
1416, 80.0
1417, 80.0
1418, 84.0
1419, 80.0
1420, 82.0
1421, 84.0
1422, 83.0
1423, 81.0
1424, 77.0
1425, 84.0
1426, 79.0
1427, 82.0
1428, 79.0
1429, 81.0
1430, 82.0
1431, 82.0
1432, 82.0
1433, 82.0
1434, 79.0
1435, 81.0
1436, 79.0
1437, 82.0
1438, 81.0
1439, 80.0
1440, 82.0
1441, 80.0
1442, 81.0
1443, 77.0
1444, 78.0
1445, 83.0
1446, 86.0
1447, 80.0
1448, 77.0
1449, 87.0
1450, 83.0
1451, 82.0
1452, 85.0
1453, 79.0
1454, 81.0
1455, 82.0
1456, 81.0
1457, 81.0
1458, 81.0
1459, 78.0
1460, 83.0
1461, 79.0
1462, 81.0
1463, 81.0
1464, 80.0
1465, 85.0
1466, 80.0
1467, 84.0
1468, 86.0
1469, 84.0
1470, 82.0
1471, 79.0
1472, 82.0
1473, 85.0
1474, 82.0
1475, 85.0
1476, 83.0
1477, 78.0
1478, 82.0
1479, 80.0
1480, 84.0
1481, 81.0
1482, 80.0
1483, 82.0
1484, 81.0
1485, 82.0
1486, 86.0
1487, 80.0
1488, 81.0
1489, 88.0
1490, 81.0
1491, 82.0
1492, 84.0
1493, 82.0
1494, 82.0
1495, 84.0
1496, 88.0
1497, 82.0
1498, 88.0
1499, 80.0
1500, 83.0
1501, 83.0
1502, 83.0
1503, 83.0
1504, 86.0
1505, 85.0
1506, 80.0
1507, 83.0
1508, 82.0
1509, 86.0
1510, 83.0
1511, 84.0
1512, 84.0
1513, 84.0
1514, 86.0
1515, 81.0
1516, 80.0
1517, 84.0
1518, 82.0
1519, 82.0
1520, 85.0
1521, 85.0
1522, 82.0
1523, 80.0
1524, 80.0
1525, 78.0
1526, 84.0
1527, 86.0
1528, 81.0
1529, 83.0
1530, 82.0
1531, 84.0
1532, 85.0
1533, 86.0
1534, 82.0
1535, 81.0
1536, 85.0
1537, 80.0
1538, 87.0
1539, 82.0
1540, 85.0
1541, 85.0
1542, 86.0
1543, 82.0
1544, 87.0
1545, 86.0
1546, 81.0
1547, 82.0
1548, 85.0
1549, 82.0
1550, 84.0
1551, 86.0
1552, 85.0
1553, 88.0
1554, 84.0
1555, 90.0
1556, 84.0
1557, 85.0
1558, 85.0
1559, 84.0
1560, 88.0
1561, 88.0
1562, 83.0
1563, 88.0
1564, 82.0
1565, 84.0
1566, 86.0
1567, 86.0
1568, 86.0
1569, 82.0
1570, 85.0
1571, 86.0
1572, 89.0
1573, 85.0
1574, 89.0
1575, 82.0
1576, 88.0
1577, 82.0
1578, 84.0
1579, 91.0
1580, 86.0
1581, 89.0
1582, 84.0
1583, 86.0
1584, 83.0
1585, 84.0
1586, 84.0
1587, 80.0
1588, 84.0
1589, 86.0
1590, 83.0
1591, 85.0
1592, 87.0
1593, 88.0
1594, 84.0
1595, 90.0
1596, 88.0
1597, 86.0
1598, 89.0
1599, 81.0
1600, 84.0
1601, 84.0
1602, 83.0
1603, 84.0
1604, 86.0
1605, 90.0
1606, 86.0
1607, 86.0
1608, 90.0
1609, 87.0
1610, 89.0
1611, 84.0
1612, 83.0
1613, 90.0
1614, 87.0
1615, 90.0
1616, 86.0
1617, 87.0
1618, 91.0
1619, 88.0
1620, 90.0
1621, 85.0
1622, 91.0
1623, 87.0
1624, 89.0
1625, 88.0
1626, 89.0
1627, 86.0
1628, 88.0
1629, 88.0
1630, 93.0
1631, 87.0
1632, 87.0
1633, 84.0
1634, 88.0
1635, 85.0
1636, 92.0
1637, 86.0
1638, 91.0
1639, 88.0
1640, 91.0
1641, 84.0
1642, 91.0
1643, 87.0
1644, 95.0
1645, 86.0
1646, 90.0
1647, 94.0
1648, 93.0
1649, 93.0
1650, 91.0
1651, 90.0
1652, 90.0
1653, 92.0
1654, 92.0
1655, 89.0
1656, 91.0
1657, 87.0
1658, 90.0
1659, 92.0
1660, 97.0
1661, 87.0
1662, 91.0
1663, 93.0
1664, 90.0
1665, 91.0
1666, 94.0
1667, 90.0
1668, 92.0
1669, 91.0
1670, 91.0
1671, 99.0
1672, 95.0
1673, 91.0
1674, 87.0
1675, 94.0
1676, 96.0
1677, 96.0
1678, 91.0
1679, 92.0
1680, 93.0
1681, 94.0
1682, 94.0
1683, 99.0
1684, 96.0
1685, 96.0
1686, 94.0
1687, 96.0
1688, 95.0
1689, 97.0
1690,101.0
1691, 96.0
1692, 98.0
1693, 99.0
1694, 98.0
1695, 98.0
1696, 99.0
1697, 99.0
1698, 94.0
1699,101.0
1700, 97.0
1701, 95.0
1702, 99.0
1703,100.0
1704,103.0
1705, 98.0
1706, 97.0
1707, 96.0
1708,106.0
1709, 98.0
1710,104.0
1711,100.0
1712,106.0
1713,106.0
1714, 99.0
1715,103.0
1716,100.0
1717,100.0
1718,106.0
1719,104.0
1720,101.0
1721,105.0
1722,104.0
1723,100.0
1724,107.0
1725, 97.0
1726,103.0
1727,108.0
1728,105.0
1729,107.0
1730,107.0
1731,106.0
1732,102.0
1733,105.0
1734,108.0
1735,107.0
1736,109.0
1737,107.0
1738,109.0
1739,110.0
1740,113.0
1741,112.0
1742,110.0
1743,108.0
1744,112.0
1745,109.0
1746,112.0
1747,114.0
1748,108.0
1749,110.0
1750,113.0
1751,108.0
1752,110.0
1753,114.0
1754,113.0
1755,116.0
1756,113.0
1757,113.0
1758,111.0
1759,108.0
1760,112.0
1761,111.0
1762,113.0
1763,112.0
1764,112.0
1765,111.0
1766,114.0
1767,110.0
1768,115.0
1769,119.0
1770,121.0
1771,125.0
1772,124.0
1773,126.0
1774,126.0
1775,126.0
1776,119.0
1777,124.0
1778,125.0
1779,131.0
1780,128.0
1781,127.0
1782,130.0
1783,128.0
1784,129.0
1785,129.0
1786,129.0
1787,131.0
1788,135.0
1789,134.0
1790,137.0
1791,134.0
1792,131.0
1793,132.0
1794,134.0
1795,137.0
1796,136.0
1797,137.0
1798,138.0
1799,139.0
1800,146.0
1801,142.0
1802,147.0
1803,152.0
1804,147.0
1805,148.0
1806,146.0
1807,147.0
1808,146.0
1809,151.0
1810,147.0
1811,150.0
1812,153.0
1813,152.0
1814,157.0
1815,150.0
1816,150.0
1817,154.0
1818,160.0
1819,163.0
1820,160.0
1821,153.0
1822,160.0
1823,160.0
1824,161.0
1825,162.0
1826,165.0
1827,163.0
1828,167.0
1829,173.0
1830,164.0
1831,162.0
1832,165.0
1833,172.0
1834,171.0
1835,172.0
1836,174.0
1837,169.0
1838,173.0
1839,179.0
1840,182.0
1841,180.0
1842,176.0
1843,174.0
1844,181.0
1845,178.0
1846,172.0
1847,177.0
1848,174.0
1849,182.0
1850,182.0
1851,193.0
1852,190.0
1853,183.0
1854,194.0
1855,201.0
1856,200.0
1857,194.0
1858,197.0
1859,197.0
1860,201.0
1861,197.0
1862,207.0
1863,202.0
1864,191.0
1865,205.0
1866,209.0
1867,211.0
1868,215.0
1869,213.0
1870,209.0
1871,222.0
1872,210.0
1873,211.0
1874,219.0
1875,213.0
1876,209.0
1877,216.0
1878,225.0
1879,218.0
1880,221.0
1881,225.0
1882,219.0
1883,224.0
1884,231.0
1885,226.0
1886,224.0
1887,229.0
1888,238.0
1889,231.0
